area,promotion_bureau,commune,type,中国,韓国,台湾,香港,シンガポール,マレーシア,タイ,インド,インドネシア,フィリピン,ベトナム,ロシア,イギリス,フランス,ドイツ,アメリカ,カナダ,オーストラリア,その他
道央,空知,妹背牛町,宿泊客数,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,,,,,
道央,空知,妹背牛町,宿泊客延数,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,,,,,
道央,空知,秩父別町,宿泊客数,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,,,,,
道央,空知,秩父別町,宿泊客延数,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,,,,,
道央,空知,雨竜町,宿泊客数,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,,,,,
道央,空知,雨竜町,宿泊客延数,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,,,,,
道央,空知,北竜町,宿泊客数,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,,,,,
道央,空知,北竜町,宿泊客延数,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,,,,,
道央,空知,沼田町,宿泊客数,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.667,,,,,
道央,空知,沼田町,宿泊客延数,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0.250,,,,,
道央,石狩,札幌市,宿泊客数,314776,175315,427212,175055,60598,37501,100867,1461,10866,4198,950,6434,4265,2465,2567,29502,4447,14021,43180,1415680,1054727,1.342,,,,,
道央,石狩,札幌市,宿泊客延数,405004,210936,491136,241740,81320,49141,143740,2150,15792,6419,1521,10653,6236,3553,3664,41377,6782,20462,63373,1804999,1361301,1.326,,,,,
道央,石狩,江別市,宿泊客数,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,,,,,
道央,石狩,江別市,宿泊客延数,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,,,,,
道央,石狩,千歳市,宿泊客数,27688,2999,5083,4872,5512,3730,9192,45,718,417,42,300,880,338,316,4723,570,3315,2980,73720,56403,1.307,,,,,
道央,石狩,千歳市,宿泊客延数,28103,3208,5329,5174,5701,3773,9534,48,735,419,42,346,907,364,359,5356,591,3417,3127,76533,59787,1.280,,,,,
道央,石狩,恵庭市,宿泊客数,21,3,5,0,1,1,1,0,0,0,0,1,3,0,0,13,0,6,30,85,70,1.214,,,,,
道央,石狩,恵庭市,宿泊客延数,67,4,14,0,1,1,1,0,0,0,0,7,5,0,0,17,0,6,56,179,258,0.694,,,,,
道央,石狩,北広島市,宿泊客数,18191,5236,812,4677,4584,472,535,9,72,0,0,0,0,0,0,8,2,0,5360,39958,38316,1.043,,,,,
道央,石狩,北広島市,宿泊客延数,19915,5685,1050,5174,5261,551,713,9,72,0,0,0,0,0,0,12,2,0,5360,43804,40157,1.091,,,,,
道央,石狩,石狩市,宿泊客数,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,,,,,
道央,石狩,石狩市,宿泊客延数,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,,,,,
道央,石狩,当別町,宿泊客数,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29,8,3.625,,,,,
道央,石狩,当別町,宿泊客延数,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,91,48,1.896,,,,,
道央,石狩,新篠津村,宿泊客数,5,10,0,0,0,7,108,0,0,3,5,0,0,0,0,0,0,4,3,145,65,2.231,,,,,
道央,石狩,新篠津村,宿泊客延数,5,10,0,0,0,14,115,0,0,3,5,0,0,0,0,0,0,4,3,159,80,1.988,,,,,
道央,後志,小樽市,宿泊客数,27169,11555,16782,14602,6432,1842,12056,83,477,115,11,875,128,235,158,1635,350,1296,2809,98610,72860,1.353,,,,,
道央,後志,小樽市,宿泊客延数,30337,13739,17556,17451,7732,2084,12718,91,534,147,13,1611,177,357,349,2188,460,2036,3405,112985,84248,1.341,,,,,
道央,後志,島牧村,宿泊客数,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,23,25,10,37,100,5,20.000,,,,,
道央,後志,島牧村,宿泊客延数,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,23,25,10,37,100,5,20.000,,,,,
道央,後志,寿都町,宿泊客数,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,,,,,
