Year{20,21,22,23,24,25 },,,,,,,,,,,,,,,,
Month{Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, Jan, Feb, Mar, Firsthalf, Secondhalf, All },,,,,,,
Stay{Individual, Cumulative, CuIn},,,,,,,,,,,,,,,,,,,
Country{China, Korea, Taiwan, HK, Singapore, Malaysia, Thailand, India, Indonesia, Vietnam, Philippines, Russia, UK, France, Germany, US, Canada, Australia, Other},,,
@data form,,,,,,,,,,,,,,,,,,,,,
Year, Month, Stay, China, Korea, Taiwan, HK, Singapore, Malaysia, Thailand, India, Indonesia, Vietnam, Philippines, Russia, UK, France, Germany, US, Canada, Australia, Other

@data,,,,,,,,,,,,,,,,,,,,,
20, Secondhalf,CuIn,1.180197958,1.251455145,1.068252093,1.311354129,1.242297051,na,na,na,na,na,1.635696822,1.751126928,2.119948187,2.049822064,1.344554455,1.401193589,1.827608555,4.7972243,1.404343914
20, All,CuIn,1.166531091,1.175701558,1.057323138,1.197192293,1.157572132,na,na,na,na,na,1.551480959,1.822728648,1.781846025,1.658471406,1.559471366,1.410970441,1.499806875,4.312475682,1.288894315
21, Apr,CuIn,1.112580382,1.089290883,1.141209497,1.346954987,1.071108901,na,na,na,na,na,1.527027027,1.74556213,1.272727273,1.209039548,2.278846154,1.262508568,1.220408163,1.724315068,1.245170571
21, May,CuIn,1.105514706,1.10460251,1.138544386,1.291666667,1.076646091,na,na,na,na,na,2.087912088,1.197875166,1.41,1.335365854,1.448453608,1.234088127,1.460159363,1.431693989,1.157757723
21, Jun,CuIn,1.14930048,1.178281649,1.088618299,1.245584468,1.100884035,na,na,na,na,na,1.186046512,1.503861004,1.343629344,1.481171548,1.304709141,1.252417127,1.372750643,1.581687612,1.420660684
21, Jul,CuIn,1.15776699,1.179295499,1.077717828,1.317610297,1.122569738,na,na,na,na,na,1.228571429,1.537037037,1.381139489,1.281803543,1.314586995,1.327024511,1.278026906,1.323207776,1.288102169
21, Aug,CuIn,1.141788939,1.186765525,1.085186272,1.387617985,1.143461105,na,na,na,na,na,1.576271186,2.504225352,1.266781411,1.348675035,1.37254902,1.314392651,1.428251121,1.248511905,1.31076415
21, Sep,CuIn,1.151366789,1.142434445,1.059085632,1.24662364,1.100254553,na,na,na,na,na,1.047619048,2.029411765,1.295918367,1.377245509,1.36492891,1.398301296,1.3225,1.249240122,1.248096075
21, Oct,CuIn,1.10251368,1.10596821,1.046190861,1.215649554,1.083380092,na,na,na,na,na,1.131578947,1.259259259,1.210810811,1.380952381,1.23154848,1.250962963,1.408839779,1.366666667,1.194664554
21, Nov,CuIn,1.078434066,1.12552131,1.04158453,1.212048349,1.094422762,na,na,na,na,na,1.021276596,1.425925926,1.338797814,1.119760479,1.675862069,1.167267113,1.325423729,1.267515924,1.178682871
21, Dec,CuIn,1.12508693,1.146118954,1.076178594,1.376651569,1.309518686,na,na,na,na,na,1.270386266,1.413888889,2.331811263,1.714285714,1.504098361,1.28460452,1.798045603,3.917413746,1.380884775
21, Jan,CuIn,1.106953658,1.161139303,1.069227539,1.405728407,1.446725092,na,na,na,na,na,1.271929825,2.020790021,2.398412698,1.398148148,1.160493827,1.685945274,1.794117647,4.745526338,1.707659404
21, Feb,CuIn,1.127373418,1.165715267,1.073604741,1.414739554,1.283478104,na,na,na,na,na,1.765567766,1.899224806,2.183035714,1.833333333,2.713768116,1.644604631,1.578034682,4.10462963,1.427547632
21, Mar,CuIn,1.12845699,1.147467464,1.05568011,1.514396385,1.36718507,na,na,na,na,na,1.241803279,1.660020986,1.962003454,2.138157895,2.856164384,1.691497366,1.378746594,3.948368704,1.332223903
21, Firsthalf,CuIn,1.138188582,1.16400712,1.09499927,1.319756331,1.100156372,na,na,na,na,na,1.511221945,1.751352891,1.325448971,1.336506623,1.396611858,1.296342529,1.353074312,1.410382514,1.27840412
21, Secondhalf,CuIn,1.115156059,1.149239044,1.06214817,1.369782205,1.271681471,na,na,na,na,na,1.361702128,1.623461538,2.080511663,1.618271955,1.667048711,1.430536854,1.550809353,4.207600566,1.382734053
21, All,CuIn,1.122680403,1.156263151,1.075877616,1.349055378,1.216312624,na,na,na,na,na,1.403484321,1.67500861,1.805582137,1.440438871,1.52238806,1.365586201,1.443282051,3.900545858,1.343298813
22, Apr,CuIn,1.093641696,1.06763519,1.067503726,1.25305136,1.078888391,1.133997785,1.179278231,1.105263158,na,na,na,1.669662921,1.526666667,1.657303371,1.538461538,1.1994003,1.316582915,2.357037037,1.190220312
22, May,CuIn,1.10915493,1.079617259,1.045200973,1.179282678,1.08156719,1.086700767,1.233452886,1.896551724,na,na,na,1.563172043,1.268292683,1.335877863,1.901234568,1.191109422,1.320712695,1.37654321,1.251406402
22, Jun,CuIn,1.116275091,1.077078912,1.062167736,1.227385252,1.113762002,1.092808357,1.364297254,2.416666667,na,na,na,1.61038961,1.334405145,1.344512195,1.938914027,1.252995067,1.4325,1.796875,1.369525823
22, Jul,CuIn,1.114954155,1.162188295,1.076881952,1.294313125,1.077915377,1.096630642,1.186023622,2.125,na,na,na,1.734504132,1.320987654,1.308282209,1.366242038,1.281168492,1.339960239,1.737051793,1.283261432
22, Aug,CuIn,1.096554575,1.183768638,1.080913479,1.275034349,1.108278089,1.15275201,1.218576196,2.310344828,na,na,na,1.800277393,1.394508671,1.334625323,1.808027923,1.365731043,1.567423231,1.6401766,1.402129659
22, Sep,CuIn,1.097844558,1.090342679,1.071154885,1.230363787,1.093603062,1.104768965,1.131521739,1.368421053,na,na,na,1.812260536,1.296103896,1.610305958,1.563342318,1.335100742,1.465940054,1.661174047,1.30381899
22, Oct,CuIn,1.107159315,1.066686338,1.053409202,1.282769109,1.154647436,1.115663524,1.24603556,1.14084507,na,na,na,1.402564103,1.527415144,1.191836735,1.477941176,1.261455526,1.369897959,1.498583569,1.252009287
22, Nov,CuIn,1.109705456,1.076811856,1.055908513,1.335701599,1.149018658,1.131954023,1.423705722,1.659090909,na,na,na,1.709323583,1.131355932,1.238095238,2.730769231,2.266709929,1.359223301,1.570071259,1.234137845
22, Dec,CuIn,1.218529412,1.145049278,1.084819755,1.644928512,1.461926936,1.289781616,1.460116732,2.152542373,na,na,na,1.512886598,3.024608501,1.83255814,1.815625,2.02256245,1.879271071,3.530867793,1.583127616
22, Jan,CuIn,1.254143167,1.175817462,1.092180741,1.594710705,1.453990984,1.469072165,1.656370656,2.026666667,na,na,na,2.171903882,3.047258979,2.218518519,4.00625,2.08540146,2.369193154,4.529852536,2.364926508
22, Feb,CuIn,1.229016161,1.238060665,1.087839,1.4911955,1.483192934,1.259552656,1.482789212,2.057971014,na,na,na,2.359046283,2.762658228,2.286836935,2.463768116,2.075709001,2.059957173,3.979307852,1.91005291
22, Mar,CuIn,1.246231156,1.232099759,1.07610784,1.697659298,1.800735101,1.379049676,1.430626927,1.06,na,na,na,2.090452261,2.948275862,2.075471698,1.552631579,1.838675214,1.482269504,3.921348315,2.133036797
22, Firsthalf,CuIn,1.105210524,1.131452943,1.06895216,1.255364707,1.090896218,1.103923998,1.207395883,1.96686747,na,na,na,1.714285714,1.356080823,1.411012433,1.71530978,1.272952854,1.430071241,1.763082778,1.307020744
22, Secondhalf,CuIn,1.198574168,1.162780147,1.077310087,1.523430501,1.414415752,1.267750587,1.450802348,1.760722348,na,na,na,1.887208009,2.629158777,1.875,2.272791519,1.877797044,1.818223235,4.110973794,1.750411777
22, All,CuIn,1.145791202,1.146042726,1.072750464,1.382062879,1.262323059,1.194356033,1.31284973,1.849032258,na,na,na,1.794220485,2.100791139,1.577544978,1.949524941,1.544038191,1.605306458,3.863014043,1.522437701
23, Apr,CuIn,1.437308869,1.301149425,1.222774169,1.328021248,1.234234234,1.846153846,1.663043478,1,na,na,na,1.587837838,1.389473684,2.348837209,1.84375,1.407894737,1.040816327,2.067114094,1.629148629
23, May,CuIn,1.355537052,1.186879824,1.120058229,1.176773964,1.076436222,1.277419355,1.432950192,1.6,na,na,na,1.390804598,1.358490566,2.092105263,1.886792453,1.411764706,1.853448276,1.487455197,1.391963609
23, Jun,CuIn,1.114391691,1.146858852,1.052920791,1.180496054,1.054226475,1.206382979,1.262068966,1.456521739,na,na,na,1.332642487,1.530927835,2.083333333,2.553191489,1.456924755,1.261603376,1.301818182,1.573383672
23, Jul,CuIn,1.120160214,1.223645369,1.056226324,1.216035411,1.073543832,1.061632871,1.131739708,1.052238806,na,na,na,1.54964539,1.514388489,1.606217617,1.759615385,1.485125858,2.455782313,1.69382716,1.451944388
23, Aug,CuIn,1.109649123,1.259983737,1.079496534,1.147807612,1.114006515,1.120786517,1.298408488,1.186046512,na,na,na,2.921100917,1.72265625,1.367346939,3.635036496,1.418473139,1.345098039,1.575,1.437603208
23, Sep,CuIn,1.130843928,1.20070164,1.051668267,1.165986068,1.094543388,1.106382979,1.26880531,1.504504505,na,na,na,3.311004785,1.294247788,1.576388889,1.871473354,1.491887906,1.274900398,1.589130435,1.571895425
23, Oct,CuIn,1.082410684,1.124536813,1.046548596,1.163189641,1.101976057,1.088408644,1.336016097,1.567164179,na,na,na,1.452991453,1.335766423,1.75739645,1.181208054,1.519614591,1.256559767,1.387387387,1.277233268
23, Nov,CuIn,1.094954938,1.115976951,1.044326633,1.172060882,1.120425532,1.323763955,1.288333333,1.092715232,na,na,na,2.063872255,1.29281768,2.12037037,1.572881356,1.594752187,1.844444444,1.716312057,1.249821045
23, Dec,CuIn,1.186112692,1.253712072,1.095387244,1.393872048,1.380669602,1.316621324,1.420282789,1.229508197,na,na,na,2.282398453,2.037549407,2.188940092,1.130801688,1.643812709,1.658974359,4.407407407,1.4045853
23, Jan,CuIn,1.194547959,1.230199285,1.134231115,1.463509144,1.383343731,1.305354559,1.317731773,1.79245283,na,na,na,2.394273128,2.348214286,2.378600823,2.085470085,1.781517094,2.131294964,4.643765614,1.928373222
23, Feb,CuIn,1.257263294,1.311972155,1.107308778,1.463255544,1.50855033,1.358413133,1.33666889,1.381578947,na,na,na,2.039872408,2.176262179,2.166666667,1.832298137,1.719809637,1.996261682,4.30180125,1.644270463
23, Mar,CuIn,1.162016284,1.372095333,1.066826757,1.498955635,1.645571827,1.553654743,1.277276456,1.970149254,na,na,na,1.805991441,2.55,2.151658768,1.708791209,1.737437186,1.828282828,3.682649189,1.675017237
23, Firsthalf,CuIn,1.125759307,1.22149946,1.068298554,1.176800374,1.075557327,1.099180111,1.209038737,1.221505376,na,na,na,1.938737041,1.462708182,1.65674814,2.206405694,1.457937089,1.622296173,1.58973029,1.493385709
23, Secondhalf,CuIn,1.172854321,1.241164639,1.08862268,1.388915246,1.356155149,1.323810164,1.341052056,1.384843982,na,na,na,2.010364004,2.125231339,2.150537634,1.536181943,1.687924417,1.828817734,4.278962561,1.566069465
23, All,CuIn,1.159025889,1.232499581,1.08132533,1.316105147,1.261227242,1.248105892,1.289759741,1.318101933,na,na,na,1.978428351,1.927319922,1.943379403,1.782476024,1.60746049,1.760582738,4.072715701,1.539982999
24, Apr,CuIn,1.130308585,1.113663484,1.045744787,1.423906966,1.147970085,1.478453039,1.352009274,2.428571429,na,na,na,1.702614379,1.397694524,2.260416667,1.323529412,1.349914237,1.470588235,1.824626866,1.267502161
24, May,CuIn,1.157865549,1.117887155,1.056172436,1.219033233,1.157759318,1.333333333,1.222730471,1.268041237,na,na,na,2.040767386,1.377245509,2.136904762,1.438095238,1.388690779,1.423076923,1.488322718,1.165882162
24, Jun,CuIn,1.160349517,1.131079514,1.059255296,1.240940609,1.196286709,1.185886403,1.358748347,1.285714286,na,na,na,2.076530612,1.496710526,1.579881657,1.256055363,1.369565217,1.483754513,1.633431085,1.467926289
24, Jul,CuIn,1.162224874,1.215247595,1.088942115,1.383956335,1.139990838,1.235358154,1.262072593,1.759615385,na,na,na,1.916666667,1.518610422,1.744845361,1.752727273,1.536553093,1.958333333,1.43144208,1.344569706
24, Aug,CuIn,1.129227149,1.217621973,1.095792288,1.290098232,1.145075603,1.194731405,1.365909091,1.139784946,na,na,na,2.888584475,1.531969309,1.660818713,1.6125,1.466958212,1.558035714,1.593309859,1.377849723
24, Sep,CuIn,1.159832406,1.139233232,1.066472453,1.234842331,1.185733882,1.276595745,1.304180064,1.6,na,na,na,2.632930514,1.482352941,1.474719101,1.558739255,1.482327586,2.257839721,1.703629032,1.393541238
24, Oct,CuIn,1.204264599,1.173155952,1.039638369,1.168301087,1.109312265,1.17418844,1.305099911,2.756097561,na,na,na,1.98173516,1.453460621,1.484693878,1.644670051,1.346671388,1.552941176,1.376978417,1.193037153
24, Nov,CuIn,1.238136324,1.115499403,1.037955829,1.171203931,1.185822785,1.400194742,1.22684737,1.64,na,na,na,2.43431221,1.368902439,1.73381295,1.316901408,1.316201117,1.412698413,2.132420091,1.289053304
24, Dec,CuIn,1.377295037,1.231321839,1.094819663,1.508140611,1.467668442,1.36092545,1.32586683,1.329004329,na,na,na,2.164041995,1.952998379,1.792746114,1.348534202,1.486277542,2.186486486,3.78747698,1.344366553
24, Jan,CuIn,1.323607679,1.171565608,1.112885721,1.496446983,1.732451679,1.49408867,1.351826327,1.984615385,na,na,na,2.467054264,2.032110092,1.775100402,2.282296651,1.586417657,2.525394046,4.381111449,1.642259414
24, Feb,CuIn,1.335767756,1.317702996,1.098133232,1.476197869,1.580816327,1.265904217,1.307552471,1.382978723,na,na,na,2.148188804,2.067095588,1.773809524,2.221765914,1.62920354,2.301886792,3.747799798,1.554943088
24, Mar,CuIn,1.282740789,1.295801657,1.075527381,1.510291339,1.768321168,1.419213974,1.359321086,1.118421053,na,na,na,1.98625,2.662456946,1.587443946,1.627586207,1.724465558,2.172804533,3.691736136,1.542915038
24, Firsthalf,CuIn,1.148104621,1.17958709,1.072415214,1.303743178,1.162222311,1.263528186,1.292332649,1.4749499,na,na,na,2.291326067,1.470508167,1.714201183,1.521116139,1.447176973,1.733750602,1.614429791,1.334701443
24, Secondhalf,CuIn,1.310489096,1.228401549,1.07798581,1.432522439,1.468111747,1.342463804,1.323733744,1.53814147,na,na,na,2.198090692,2.054135908,1.686098655,1.769441402,1.546267736,2.110246872,3.963188083,1.43885612
24, All,CuIn,1.195252513,1.20293228,1.075497756,1.379380543,1.345224767,1.319528569,1.313213338,1.512295082,na,na,na,2.241624258,1.882329371,1.699769718,1.664974619,1.507227865,1.954906635,3.783657172,1.397333446
25, Apr,CuIn,1.203454333,1.121077622,1.064386318,1.385378861,1.172646822,1.342857143,1.336010062,1.391304348,1.090501122,1.577142857,1.864864865,2.109057301,1.204663212,1.168674699,1.472789116,1.451253482,1.731051345,2.815936255,1.372922187
25, May,CuIn,1.194981413,1.122815231,1.061448043,1.247736395,1.128849271,1.231213873,1.251600463,1.300813008,1.143636364,1.218527316,1.166666667,1.983870968,1.276635514,1.399280576,1.657004831,1.303781379,1.500990099,1.62849162,1.280953837
25, Jun,CuIn,1.157111684,1.121627354,1.075312455,1.254598679,1.175972192,1.40798005,1.260307097,1.309090909,1.456806283,1.169491525,1.288888889,1.868014269,1.404878049,1.608069164,1.312693498,1.341025641,1.422535211,1.720908231,1.450119419
25, Jul,CuIn,1.145559978,1.231092112,1.078388395,1.363522744,1.17587737,1.283221108,1.236596546,1.230769231,1.193832599,1.148247978,1.125,1.906603774,1.36460177,1.598911071,1.667481663,1.483264827,1.631773399,1.365486059,1.357004978
25, Aug,CuIn,1.146342669,1.230800469,1.082855897,1.32986638,1.23229246,1.23251462,1.270424837,1.46031746,1.284699195,1.12962963,1.742268041,1.839595376,1.483388704,1.487912088,1.544270833,1.326223681,1.305687204,1.928774929,1.363490707
25, Sep,CuIn,1.131141502,1.194329135,1.056805938,1.279667827,1.225415303,1.267556403,1.229833471,1.75,1.050742574,1.324427481,1.868852459,1.920903955,1.428571429,1.424908425,1.959731544,1.422001803,1.531545741,1.725773196,1.308080808
25, Oct,CuIn,1.177457795,1.134034023,1.054062403,1.20330193,1.194383443,1.14411303,1.220020301,1.141176471,1.088919289,1.526104418,1.103448276,1.633752244,1.276872964,1.303730018,1.31120332,1.209181259,1.290581162,1.442253521,2.045271416
25, Nov,CuIn,1.152675029,1.149093656,1.040843844,1.234564658,1.19116044,1.130178571,1.259947794,1.259259259,1.501035197,1.376865672,1.125,1.674887892,1.332167832,1.654545455,1.333333333,1.471350899,1.388625592,1.580479452,1.25
25, Dec,CuIn,1.229064127,1.232374063,1.081115848,1.507456337,1.542226278,1.434529127,1.328960545,1.837398374,1.373544974,1.320930233,1.090361446,1.813444109,1.986472425,2,2.134615385,1.656726611,1.75732899,3.6385791,1.461503793
25, Jan,CuIn,1.185816669,1.219164735,1.11757356,1.542981675,1.967624187,1.386268848,1.354635762,1.407407407,1.541621622,1.624242424,1.351351351,2.120236531,1.989726027,2.654450262,1.807909605,1.585740913,2.077936334,4.232674134,1.713242534
25, Feb,CuIn,1.209084157,1.224527213,1.080516423,1.434551414,1.441110147,1.25080923,1.32867315,1.494736842,1.286055777,1.940251572,1.227979275,2.027240773,2.037055583,1.699779249,1.87751004,1.580928741,1.642985612,3.4933281,1.555824216
25, Mar,CuIn,1.238599349,1.411313605,1.08882996,1.637085886,1.813677691,1.334964821,1.298606109,2.36,1.490649065,1.552941176,2.395833333,1.781569966,1.942488263,2.059602649,1.322580645,1.626788036,1.997395833,3.43377816,1.523202019
25, Firsthalf,CuIn,1.151611928,1.192267473,1.07099236,1.315294367,1.178008511,1.275471852,1.259734334,1.363984674,1.201469188,1.277970512,1.634057971,1.917456972,1.347416413,1.491089109,1.597389034,1.389873418,1.505268846,1.884685582,1.352203638
25, Secondhalf,CuIn,1.199702413,1.231425693,1.077184797,1.430747922,1.490762296,1.316857038,1.296368708,1.67967968,1.379973221,1.54125,1.261538462,1.851209253,1.896596434,1.819161677,1.636686992,1.533212108,1.723997971,3.734138462,1.604153497
25, All,CuIn,1.180999914,1.208837344,1.074278589,1.378336126,1.352360335,1.303108035,1.28171599,1.571334648,1.306284046,1.385816692,1.372570194,1.879566982,1.705602537,1.654473161,1.617306207,1.471948879,1.618081905,3.563041076,1.504741814
