Year{20,21,22,23,24,25 },,,,,,,,,,,,,,,,
Month{Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, Jan, Feb, Mar, Firsthalf, Secondhalf, All },,,,,,,
Stay{Individual, Cumulative, CuIn},,,,,,,,,,,,,,,,,,,
Country{China, Korea, Taiwan, HK, Singapore, Malaysia, Thailand, India, Indonesia, Vietnam, Philippines, Russia, UK, France, Germany, US, Canada, Australia, Other},,,
@data form,,,,,,,,,,,,,,,,,,,,,
Year, Month, Stay, China, Korea, Taiwan, HK, Singapore, Malaysia, Thailand, India, Indonesia, Vietnam, Philippines, Russia, UK, France, Germany, US, Canada, Australia, Other

@data,,,,,,,,,,,,,,,,,,,,,
21, Jan, Cumulative,23194,35467,53471,34699,6273,na,na,na,na,na,145,1944,1511,302,282,2711,671,56486,12775
21, Feb, Individual,53088,23299,70865,61318,11052,na,na,na,na,na,273,774,1568,492,276,4578,519,9720,17163
21, Feb, Cumulative,59850,27160,76081,86749,14185,na,na,na,na,na,482,1470,3423,902,749,7529,819,39897,24501
21, Mar, Individual,10486,11372,40589,15490,6430,na,na,na,na,na,244,953,579,152,146,1329,367,3157,9915
21, Mar, Cumulative,11833,13049,42849,23458,8791,na,na,na,na,na,303,1582,1136,325,417,2248,506,12465,13209
21, Firsthalf, Individual,69890,94941,219128,133952,38370,na,na,na,na,na,401,3511,2283,2416,2007,16022,2651,3660,40003
21, Firsthalf, Cumulative,79548,110512,239945,176784,42213,na,na,na,na,na,606,6149,3026,3229,2803,20770,3587,5162,51140
21, Secondhalf, Individual,144048,104671,305190,189352,80495,na,na,na,na,na,1034,5200,3987,1412,1745,17081,2224,29682,65829
21, Secondhalf, Cumulative,160636,120292,324157,259371,102364,na,na,na,na,na,1408,8442,8295,2285,2909,24435,3449,124890,91024
21, All, Individual,213938,199612,524318,323304,118865,na,na,na,na,na,1435,8711,6270,3828,3752,33103,4875,33342,105832
21, All, Cumulative,240184,230804,564102,436155,144577,na,na,na,na,na,2014,14591,11321,5514,5712,45205,7036,130052,142164
22, Apr, Individual,15004,12390,31539,16550,6693,2709,2577,19,na,na,na,445,300,178,91,1334,199,675,3722
22, Apr, Cumulative,16409,13228,33668,20738,7221,3072,3039,21,na,na,na,743,458,295,140,1600,262,1591,4430
22, May, Individual,14484,16617,41946,20939,17458,3910,3067,87,na,na,na,744,287,262,162,2632,449,648,5155
22, May, Cumulative,16065,17940,43842,24693,18882,4249,3783,165,na,na,na,1163,364,350,308,3135,593,892,6451
22, Jun, Individual,17536,20732,43640,24641,17185,2489,1238,84,na,na,na,847,311,328,442,2838,400,704,6622
22, Jun, Cumulative,19575,22330,46353,30244,19140,2720,1689,203,na,na,na,1364,415,441,857,3556,573,1265,9069
22, Jul, Individual,45479,39300,76689,53263,21318,9438,7112,56,na,na,na,968,648,652,314,3834,503,753,11590
22, Jul, Cumulative,50707,45674,82585,68939,22979,10350,8435,119,na,na,na,1679,856,853,429,4912,674,1308,14873
